Snoring Rate,Respiratory Rate,Body Temperature,Limb Movement,Blood Oxygen,Eye Movement,Sleep Hours,Heart Rate,Stress Level
9.0,25.0,97.6,9.0,98.0,0.0,4.9,100.0,0.0
10.0,17.0,99.0,5.0,95.0,1.0,8.5,77.0,1.0
0.0,25.0,98.0,3.0,90.0,0.0,6.2,96.0,1.0
2.0,23.0,98.8,9.0,93.0,0.0,4.4,100.0,0.0
9.0,24.0,97.6,8.0,100.0,0.0,4.3,87.0,0.0
10.0,20.0,97.3,5.0,99.0,1.0,7.7,80.0,1.0
9.0,15.0,97.3,6.0,96.0,0.0,5.6,70.0,1.0
4.0,23.0,97.1,6.0,99.0,1.0,6.3,76.0,1.0
6.0,17.0,97.7,9.0,93.0,1.0,6.8,70.0,1.0
6.0,17.0,98.3,3.0,94.0,0.0,4.8,83.0,1.0
1.0,23.0,98.1,8.0,91.0,0.0,9.5,68.0,1.0
4.0,24.0,97.4,0.0,93.0,1.0,7.7,96.0,0.0
0.0,18.0,97.1,9.0,100.0,0.0,5.4,79.0,1.0
3.0,22.0,97.5,6.0,92.0,0.0,5.9,63.0,0.0
7.0,17.0,97.4,7.0,98.0,1.0,9.3,80.0,1.0
2.0,16.0,97.7,4.0,94.0,1.0,5.5,77.0,1.0
7.0,14.0,98.7,6.0,96.0,0.0,5.2,73.0,1.0
6.0,18.0,98.9,7.0,98.0,0.0,8.2,96.0,1.0
7.0,15.0,97.9,8.0,91.0,1.0,9.9,74.0,1.0
2.0,25.0,97.5,7.0,94.0,0.0,4.8,70.0,1.0
4.0,18.0,98.3,2.0,90.0,0.0,6.1,67.0,1.0
9.0,18.0,97.1,2.0,100.0,1.0,7.1,66.0,1.0
4.0,16.0,97.1,6.0,92.0,0.0,4.0,89.0,1.0
0.0,24.0,98.2,8.0,93.0,0.0,9.5,85.0,0.0
7.0,22.0,99.0,7.0,98.0,1.0,6.5,99.0,1.0
8.0,24.0,98.0,9.0,96.0,1.0,5.9,91.0,1.0
2.0,21.0,98.9,0.0,93.0,0.0,4.3,82.0,0.0
1.0,12.0,97.1,6.0,97.0,1.0,4.3,94.0,1.0
0.0,20.0,98.1,10.0,95.0,1.0,7.6,95.0,0.0
5.0,24.0,97.5,4.0,92.0,0.0,6.4,84.0,0.0
0.0,18.0,98.6,4.0,91.0,0.0,8.3,74.0,1.0
4.0,15.0,97.4,2.0,94.0,1.0,5.4,90.0,1.0
7.0,17.0,98.9,3.0,94.0,1.0,6.3,83.0,1.0
10.0,16.0,97.3,7.0,91.0,1.0,4.3,68.0,0.0
2.0,20.0,97.6,10.0,94.0,1.0,8.7,76.0,0.0
0.0,17.0,98.3,0.0,92.0,1.0,7.1,68.0,1.0
7.0,17.0,97.5,10.0,90.0,1.0,6.7,100.0,1.0
9.0,14.0,97.5,3.0,100.0,0.0,7.4,64.0,0.0
1.0,16.0,98.1,10.0,92.0,1.0,5.1,70.0,0.0
8.0,19.0,98.1,7.0,97.0,1.0,5.6,60.0,0.0
1.0,15.0,97.5,0.0,97.0,1.0,9.9,69.0,1.0
9.0,15.0,97.3,9.0,100.0,0.0,8.5,67.0,0.0
4.0,12.0,98.3,10.0,92.0,1.0,7.1,82.0,1.0
7.0,25.0,97.2,1.0,93.0,0.0,6.2,96.0,0.0
5.0,18.0,97.9,1.0,95.0,0.0,9.1,84.0,0.0
3.0,23.0,97.4,0.0,95.0,1.0,5.5,67.0,1.0
3.0,24.0,98.2,1.0,93.0,1.0,4.1,65.0,0.0
7.0,16.0,98.9,0.0,91.0,1.0,7.3,71.0,0.0
6.0,24.0,97.7,1.0,97.0,1.0,7.8,83.0,0.0
9.0,21.0,97.3,7.0,92.0,0.0,9.9,96.0,1.0
6.0,13.0,98.7,4.0,100.0,0.0,5.5,68.0,0.0
10.0,14.0,98.6,4.0,94.0,1.0,9.3,100.0,1.0
2.0,19.0,98.8,2.0,97.0,0.0,7.8,90.0,1.0
9.0,15.0,97.1,2.0,98.0,0.0,8.5,87.0,1.0
1.0,18.0,98.2,1.0,98.0,1.0,8.4,92.0,0.0
0.0,15.0,97.9,10.0,93.0,1.0,5.1,96.0,1.0
3.0,21.0,98.4,9.0,100.0,0.0,8.0,82.0,0.0
2.0,16.0,98.0,1.0,100.0,1.0,5.7,96.0,1.0
2.0,12.0,98.3,10.0,93.0,1.0,9.8,86.0,0.0
8.0,21.0,97.9,5.0,91.0,0.0,4.9,76.0,1.0
9.0,13.0,99.0,3.0,95.0,0.0,9.9,76.0,1.0
0.0,21.0,98.8,6.0,96.0,1.0,6.1,86.0,0.0
1.0,14.0,97.3,2.0,97.0,0.0,7.4,99.0,0.0
4.0,16.0,98.9,4.0,92.0,1.0,5.0,88.0,0.0
9.0,16.0,98.3,7.0,100.0,0.0,6.1,90.0,1.0
3.0,23.0,98.7,3.0,90.0,0.0,7.1,66.0,0.0
4.0,23.0,98.4,8.0,97.0,1.0,9.7,60.0,1.0
10.0,20.0,98.7,5.0,95.0,1.0,6.5,72.0,0.0
3.0,25.0,97.2,8.0,98.0,0.0,7.7,100.0,1.0
10.0,21.0,98.5,0.0,90.0,0.0,7.5,87.0,1.0
4.0,25.0,98.9,3.0,98.0,0.0,9.8,98.0,1.0
10.0,20.0,97.7,0.0,98.0,1.0,9.6,62.0,0.0
7.0,21.0,98.9,8.0,94.0,0.0,8.4,90.0,0.0
6.0,17.0,98.3,0.0,98.0,1.0,5.5,99.0,0.0
8.0,24.0,98.4,9.0,99.0,0.0,6.1,64.0,0.0
7.0,24.0,97.9,8.0,93.0,1.0,6.4,84.0,0.0
3.0,15.0,97.5,0.0,98.0,1.0,9.7,60.0,1.0
1.0,15.0,97.5,0.0,91.0,0.0,8.8,92.0,0.0
2.0,21.0,98.9,10.0,90.0,0.0,7.8,65.0,1.0
2.0,15.0,98.7,10.0,97.0,0.0,4.2,99.0,0.0
2.0,24.0,99.0,8.0,98.0,1.0,5.1,71.0,0.0
10.0,17.0,98.1,0.0,97.0,1.0,9.0,86.0,1.0
1.0,20.0,98.2,1.0,90.0,0.0,8.5,99.0,1.0
8.0,22.0,98.2,6.0,92.0,0.0,9.2,63.0,0.0
5.0,22.0,97.7,5.0,94.0,1.0,8.6,72.0,1.0
8.0,17.0,98.8,2.0,98.0,0.0,4.8,73.0,0.0
0.0,18.0,98.0,0.0,97.0,1.0,5.4,77.0,0.0
3.0,12.0,97.1,7.0,99.0,1.0,8.0,92.0,1.0
7.0,20.0,98.8,9.0,94.0,1.0,7.8,76.0,1.0
7.0,22.0,97.9,3.0,96.0,1.0,6.9,88.0,0.0
0.0,20.0,97.9,8.0,96.0,1.0,4.5,81.0,0.0
0.0,12.0,98.1,8.0,96.0,1.0,8.2,76.0,0.0
10.0,16.0,97.2,8.0,100.0,0.0,9.1,92.0,1.0
2.0,13.0,97.0,4.0,95.0,0.0,6.5,83.0,1.0
4.0,17.0,99.0,8.0,98.0,0.0,6.6,67.0,0.0
0.0,20.0,97.9,3.0,98.0,0.0,7.1,79.0,1.0
7.0,12.0,97.2,6.0,100.0,0.0,6.9,78.0,0.0
5.0,13.0,98.4,10.0,94.0,1.0,6.7,78.0,1.0
4.0,15.0,97.9,10.0,95.0,0.0,7.8,65.0,1.0
3.0,13.0,97.9,3.0,95.0,1.0,9.2,79.0,1.0
6.0,25.0,97.5,5.0,95.0,0.0,5.6,93.0,0.0
10.0,21.0,97.1,7.0,96.0,0.0,4.5,96.0,1.0
10.0,20.0,98.9,10.0,95.0,0.0,6.8,77.0,1.0
1.0,14.0,97.5,4.0,94.0,0.0,9.1,97.0,1.0
6.0,16.0,98.9,3.0,90.0,0.0,9.8,89.0,1.0
0.0,19.0,98.7,9.0,95.0,0.0,7.8,84.0,1.0
2.0,19.0,98.8,2.0,99.0,0.0,8.6,83.0,1.0
7.0,16.0,97.1,6.0,100.0,0.0,5.5,83.0,0.0
6.0,20.0,97.6,3.0,97.0,1.0,6.7,91.0,0.0
2.0,14.0,98.9,10.0,92.0,0.0,7.1,92.0,1.0
8.0,18.0,98.1,1.0,94.0,0.0,8.9,94.0,1.0
9.0,21.0,97.8,2.0,97.0,1.0,4.1,60.0,1.0
1.0,16.0,98.0,10.0,90.0,0.0,7.0,91.0,0.0
9.0,15.0,98.4,2.0,92.0,0.0,6.9,85.0,0.0
3.0,16.0,98.7,5.0,97.0,1.0,9.9,69.0,0.0
10.0,24.0,97.6,9.0,94.0,0.0,4.8,93.0,1.0
2.0,12.0,98.9,4.0,90.0,0.0,9.6,93.0,0.0
4.0,13.0,97.0,7.0,95.0,1.0,9.0,85.0,0.0
